org_id,event_timestamp,activity,plan,price,deployment
100000003,2024-04-05T17:07:32Z,subscribed,Business,399,SaaS
100000002,2024-04-06T20:13:47Z,subscribed,Business,399,On-prem
100000004,2024-04-06T22:45:27Z,subscribed,Team,99,On-prem
100000005,2024-04-07T22:15:16Z,subscribed,Team,99,SaaS
100000007,2024-04-07T08:51:41Z,subscribed,Team,99,SaaS
100000006,2024-04-08T17:04:18Z,subscribed,Business,399,SaaS
100000001,2024-04-08T12:47:19Z,subscribed,Business,399,On-prem
100000008,2024-04-08T03:39:09Z,subscribed,Business,399,On-prem
100000013,2024-04-09T20:55:35Z,subscribed,Business,399,On-prem
100000010,2024-04-09T14:14:17Z,subscribed,Team,99,On-prem
100000009,2024-04-09T21:15:20Z,subscribed,Business,399,On-prem
100000012,2024-04-10T07:04:26Z,subscribed,Team,99,SaaS
100000014,2024-04-10T03:21:38Z,subscribed,Business,399,On-prem
100000011,2024-04-11T14:45:38Z,subscribed,Business,399,On-prem
100000019,2024-04-11T08:52:56Z,subscribed,Business,399,On-prem
100000020,2024-04-12T06:28:18Z,subscribed,Team,99,On-prem
100000017,2024-04-12T11:28:47Z,subscribed,Team,99,On-prem
100000025,2024-04-13T16:13:34Z,subscribed,Team,99,SaaS
100000024,2024-04-13T03:20:09Z,subscribed,Team,99,On-prem
100000027,2024-04-13T16:47:00Z,subscribed,Team,99,SaaS
100000023,2024-04-14T16:23:11Z,subscribed,Team,99,On-prem
100000032,2024-04-14T09:36:52Z,subscribed,Business,399,SaaS
100000037,2024-04-15T18:49:46Z,subscribed,Team,99,SaaS
100000016,2024-04-15T14:54:08Z,subscribed,Team,99,SaaS
100000022,2024-04-16T11:42:23Z,subscribed,Team,99,On-prem
100000034,2024-04-16T17:03:21Z,subscribed,Business,399,SaaS
100000033,2024-04-17T08:43:31Z,subscribed,Business,399,On-prem
100000042,2024-04-17T02:48:25Z,subscribed,Business,399,SaaS
100000035,2024-04-18T02:52:38Z,subscribed,Business,399,SaaS
100000041,2024-04-18T21:00:47Z,subscribed,Team,99,SaaS
100000051,2024-04-19T07:00:57Z,subscribed,Business,399,SaaS
100000028,2024-04-19T20:11:24Z,subscribed,Team,99,SaaS
100000015,2024-04-20T11:20:51Z,subscribed,Team,99,On-prem
100000039,2024-04-20T09:53:09Z,subscribed,Team,99,On-prem
100000062,2024-04-21T15:22:37Z,subscribed,Team,99,SaaS
100000056,2024-04-22T20:19:39Z,subscribed,Team,99,SaaS
100000046,2024-04-23T00:17:39Z,subscribed,Business,399,On-prem
100000036,2024-04-23T07:53:56Z,subscribed,Business,399,SaaS
100000058,2024-04-23T09:12:18Z,subscribed,Business,399,SaaS
100000043,2024-04-24T15:13:45Z,subscribed,Business,399,SaaS
100000068,2024-04-25T22:50:47Z,subscribed,Business,399,On-prem
100000064,2024-04-25T23:53:11Z,subscribed,Team,99,SaaS
100000040,2024-04-26T21:11:55Z,subscribed,Team,99,On-prem
100000055,2024-04-26T13:13:51Z,subscribed,Business,399,On-prem
100000074,2024-04-27T11:53:33Z,subscribed,Team,99,SaaS
100000080,2024-04-27T21:29:03Z,subscribed,Team,99,SaaS
100000086,2024-04-28T02:52:40Z,subscribed,Business,399,On-prem
100000052,2024-04-28T08:28:34Z,subscribed,Team,99,On-prem
100000085,2024-04-29T07:53:51Z,subscribed,Business,399,SaaS
