org_id,event_timestamp,activity,plan,price,deployment
100000004,2024-04-06T11:02:39Z,subscribed,Team,-812,SaaS
100000001,2024-04-06T12:50:45Z,subscribed,Business,399,On-prem
100000002,2024-04-07T05:37:30Z,subscribed,Team,99,On-prem
100000003,2024-04-07T21:27:37Z,subscribed,Team,99,On-prem
100000005,2024-04-08T00:39:11Z,subscribed,Team,0,SaaS
100000006,2024-04-08T22:41:28Z,subscribed,Business,399,SaaS
100000009,2024-04-09T06:03:46Z,subscribed,Business,399,On-prem
100000010,2024-04-09T00:18:36Z,subscribed,Team,99,On-prem
100000008,2024-04-10T21:08:45Z,subscribed,Business,-199,On-prem
100000014,2024-04-11T14:30:15Z,subscribed,Business,399,SaaS
100000019,2024-04-11T01:57:14Z,subscribed,Team,99,On-prem
100000012,2024-04-12T12:33:01Z,subscribed,Business,399,On-prem
100000011,2024-04-12T11:48:39Z,subscribed,Business,399,SaaS
100000018,2024-04-13T02:46:17Z,subscribed,Business,399,On-prem
100000020,2024-04-13T20:55:59Z,subscribed,Team,99,SaaS
100000028,2024-04-14T22:45:52Z,subscribed,Team,-220,SaaS
100000023,2024-04-14T10:05:25Z,subscribed,Business,399,On-prem
100000021,2024-04-15T11:25:40Z,subscribed,Team,99,SaaS
100000027,2024-04-15T15:27:14Z,subscribed,Business,399,SaaS
100000022,2024-04-16T09:48:24Z,subscribed,Business,-330,SaaS
100000016,2024-04-16T09:01:19Z,subscribed,Business,399,SaaS
100000024,2024-04-17T17:09:00Z,subscribed,Business,399,On-prem
100000030,2024-04-17T08:59:13Z,subscribed,Team,99,On-prem
100000035,2024-04-17T22:23:02Z,subscribed,Team,99,On-prem
100000026,2024-04-18T04:06:17Z,subscribed,Team,99,On-prem
100000041,2024-04-18T09:08:33Z,subscribed,Business,399,On-prem
100000047,2024-04-19T14:47:36Z,subscribed,Business,0,SaaS
100000048,2024-04-19T11:36:02Z,subscribed,Business,399,On-prem
100000054,2024-04-20T22:13:00Z,subscribed,Team,0,SaaS
100000049,2024-04-20T23:46:12Z,subscribed,Business,399,SaaS
100000043,2024-04-21T05:18:09Z,subscribed,Team,-903,SaaS
100000025,2024-04-21T09:04:27Z,subscribed,Team,99,On-prem
100000038,2024-04-21T19:58:23Z,subscribed,Team,99,SaaS
100000045,2024-04-22T07:48:24Z,subscribed,Business,399,SaaS
100000042,2024-04-22T19:58:23Z,subscribed,Business,399,SaaS
100000040,2024-04-23T14:48:53Z,subscribed,Team,99,SaaS
100000063,2024-04-24T07:16:07Z,subscribed,Team,99,SaaS
100000067,2024-04-24T16:43:10Z,subscribed,Business,399,On-prem
100000033,2024-04-25T16:32:24Z,subscribed,Team,99,On-prem
100000068,2024-04-26T14:14:28Z,subscribed,Team,-182,SaaS
100000073,2024-04-26T02:20:11Z,subscribed,Business,399,SaaS
100000064,2024-04-27T19:37:55Z,subscribed,Team,99,SaaS
100000079,2024-04-27T20:41:48Z,subscribed,Business,399,SaaS
100000007,2024-04-28T22:17:26Z,subscribed,Team,0,SaaS
100000037,2024-04-28T03:42:57Z,subscribed,Team,99,SaaS
100000069,2024-04-29T19:35:09Z,subscribed,Business,399,SaaS
100000083,2024-04-29T03:02:18Z,subscribed,Team,99,On-prem
100000055,2024-04-30T21:46:32Z,subscribed,Business,399,On-prem
100000036,2024-04-30T11:10:19Z,subscribed,Business,399,SaaS
100000034,2024-05-01T08:41:08Z,subscribed,Business,399,SaaS
100000080,2024-05-01T05:43:11Z,subscribed,Business,399,On-prem
100000031,2024-05-02T11:15:39Z,subscribed,Team,99,SaaS
100000095,2024-05-02T10:15:38Z,subscribed,Team,99,On-prem
100000094,2024-05-03T18:12:29Z,subscribed,Business,399,On-prem
100000017,2024-05-03T16:51:34Z,subscribed,Team,99,SaaS
100000081,2024-05-03T01:48:48Z,subscribed,Business,399,On-prem
100000050,2024-05-04T12:53:54Z,subscribed,Team,99,On-prem
100000065,2024-05-04T02:54:14Z,subscribed,Team,99,On-prem
100000102,2024-05-04T23:00:15Z,subscribed,Team,99,SaaS
100000112,2024-05-05T15:37:51Z,subscribed,Business,0,On-prem
100000113,2024-05-05T08:18:50Z,subscribed,Team,99,On-prem
100000108,2024-05-06T05:10:47Z,subscribed,Business,399,On-prem
100000100,2024-05-06T09:54:28Z,subscribed,Business,399,On-prem
100000093,2024-05-07T00:52:58Z,subscribed,Business,399,On-prem
100000084,2024-05-07T04:44:19Z,subscribed,Business,399,SaaS
100000105,2024-05-08T00:15:38Z,subscribed,Business,399,SaaS
100000072,2024-05-08T00:01:27Z,subscribed,Business,399,On-prem
100000099,2024-05-09T14:11:56Z,subscribed,Team,-820,SaaS
100000106,2024-05-09T21:07:53Z,subscribed,Team,99,SaaS
100000107,2024-05-10T00:23:58Z,subscribed,Business,399,SaaS
100000062,2024-05-10T12:01:00Z,subscribed,Team,99,On-prem
100000089,2024-05-10T14:10:16Z,subscribed,Business,399,SaaS
100000129,2024-05-11T16:18:17Z,subscribed,Team,99,SaaS
100000123,2024-05-11T01:14:43Z,subscribed,Business,399,On-prem
100000142,2024-05-12T06:17:58Z,subscribed,Team,-103,On-prem
100000137,2024-05-12T05:23:18Z,subscribed,Business,399,SaaS
100000052,2024-05-13T02:36:47Z,subscribed,Business,399,On-prem
100000097,2024-05-13T19:24:59Z,subscribed,Team,99,SaaS
100000070,2024-05-14T00:18:33Z,subscribed,Team,-947,SaaS
100000145,2024-05-15T04:17:16Z,subscribed,Team,99,SaaS
100000151,2024-05-15T10:23:05Z,subscribed,Business,399,On-prem
100000126,2024-05-15T08:07:04Z,subscribed,Team,99,On-prem
100000029,2024-05-16T06:15:30Z,subscribed,Business,-333,On-prem
100000153,2024-05-16T14:20:14Z,subscribed,Team,99,On-prem
100000130,2024-05-17T19:13:31Z,subscribed,Team,99,SaaS
100000133,2024-05-17T02:42:04Z,subscribed,Business,399,SaaS
100000140,2024-05-18T11:45:11Z,subscribed,Team,-702,On-prem
100000167,2024-05-18T14:39:52Z,subscribed,Team,99,SaaS
100000121,2024-05-19T04:26:57Z,subscribed,Team,99,On-prem
