org_id,event_timestamp,activity,duration
100000001,2024-04-05T08:04:43Z,signed in,
100000004,2024-04-05T10:16:49Z,signed in,
100000002,2024-04-06T15:39:33Z,signed in,
100000003,2024-04-06T20:25:44Z,signed in,
100000001,2024-04-06T22:42:49Z,signed in,
100000004,2024-04-06T08:49:23Z,signed in,
100000002,2024-04-07T05:19:36Z,signed in,
100000003,2024-04-07T07:16:05Z,signed in,
100000002,2024-04-07T14:49:56Z,signed in,
100000005,2024-04-07T21:40:04Z,signed in,
100000006,2024-04-07T20:25:59Z,signed in,
100000001,2024-04-07T19:04:05Z,signed in,
100000010,2024-04-08T22:41:42Z,signed in,
100000010,2024-04-08T19:57:28Z,signed in,
100000003,2024-04-08T16:08:21Z,signed in,
100000006,2024-04-08T18:34:32Z,signed in,
100000003,2024-04-08T06:35:35Z,signed in,
100000010,2024-04-08T15:47:53Z,signed in,
100000002,2024-04-08T16:51:20Z,signed in,
100000008,2024-04-08T12:58:44Z,signed in,
100000008,2024-04-08T07:32:33Z,signed in,
100000006,2024-04-08T13:47:12Z,signed in,
100000010,2024-04-08T21:48:24Z,signed in,
100000009,2024-04-09T21:42:03Z,signed in,
100000002,2024-04-09T09:44:52Z,signed in,
100000002,2024-04-09T07:50:52Z,signed in,
100000013,2024-04-09T13:50:07Z,signed in,
100000012,2024-04-09T10:35:51Z,signed in,
100000007,2024-04-09T19:29:15Z,signed in,
100000011,2024-04-09T20:04:53Z,signed in,
100000009,2024-04-09T15:47:01Z,signed in,
100000008,2024-04-10T07:45:24Z,signed in,
100000013,2024-04-10T12:23:39Z,signed in,
100000008,2024-04-10T07:13:11Z,signed in,
100000015,2024-04-10T09:37:09Z,signed in,
100000004,2024-04-10T18:20:14Z,signed in,
100000014,2024-04-10T11:36:47Z,signed in,
100000005,2024-04-11T07:41:27Z,signed in,
100000008,2024-04-11T09:31:47Z,signed in,
100000014,2024-04-11T11:22:48Z,signed in,
100000001,2024-04-11T23:53:56Z,signed in,
100000022,2024-04-12T14:01:19Z,signed in,
100000024,2024-04-12T12:51:03Z,signed in,
100000016,2024-04-13T20:13:04Z,signed in,
100000005,2024-04-13T22:49:31Z,signed in,
100000028,2024-04-13T13:29:57Z,signed in,
100000005,2024-04-13T20:25:07Z,signed in,
100000021,2024-04-14T13:25:05Z,signed in,
100000022,2024-04-14T12:48:19Z,signed in,
100000011,2024-04-14T18:36:44Z,signed in,
100000008,2024-04-14T07:25:20Z,signed in,
100000021,2024-04-14T14:14:12Z,signed in,
100000024,2024-04-14T07:12:01Z,signed in,
100000012,2024-04-15T18:29:52Z,signed in,
100000010,2024-04-15T22:01:25Z,signed in,
100000008,2024-04-15T11:29:01Z,signed in,
100000027,2024-04-15T18:35:04Z,signed in,
100000002,2024-04-15T22:22:38Z,signed in,
100000008,2024-04-15T03:50:05Z,signed in,
100000018,2024-04-15T20:12:21Z,signed in,
100000018,2024-04-15T21:46:34Z,signed in,
100000018,2024-04-15T14:18:26Z,signed in,
100000037,2024-04-15T17:50:55Z,signed in,
100000023,2024-04-16T23:48:10Z,signed in,
100000036,2024-04-16T23:08:35Z,signed in,
100000003,2024-04-16T07:44:26Z,signed in,
100000034,2024-04-16T11:51:51Z,signed in,
100000014,2024-04-16T11:20:00Z,signed in,
100000002,2024-04-16T23:16:34Z,signed in,
100000018,2024-04-16T05:53:14Z,signed in,
100000037,2024-04-16T10:53:25Z,signed in,
100000011,2024-04-17T16:09:09Z,signed in,
100000006,2024-04-17T03:36:31Z,signed in,
100000016,2024-04-17T04:24:49Z,signed in,
100000012,2024-04-17T23:34:10Z,signed in,
100000022,2024-04-17T18:28:00Z,signed in,
100000009,2024-04-17T13:01:51Z,signed in,
100000023,2024-04-18T04:59:33Z,signed in,
100000010,2024-04-18T05:47:18Z,signed in,
100000012,2024-04-18T22:58:47Z,signed in,
100000047,2024-04-18T17:31:11Z,signed in,
100000002,2024-04-19T16:55:54Z,signed in,
100000039,2024-04-19T22:54:28Z,signed in,
100000054,2024-04-20T09:32:00Z,signed in,
100000008,2024-04-20T04:47:03Z,signed in,
100000032,2024-04-20T19:32:57Z,signed in,
100000034,2024-04-20T07:40:03Z,signed in,
100000046,2024-04-21T21:06:01Z,signed in,
100000042,2024-04-21T13:34:40Z,signed in,
100000020,2024-04-21T15:47:38Z,signed in,
100000003,2024-04-21T06:07:18Z,signed in,
100000044,2024-04-21T23:51:22Z,signed in,
100000004,2024-04-21T21:49:12Z,signed in,
100000010,2024-04-22T18:21:24Z,signed in,
100000036,2024-04-22T23:05:32Z,signed in,
100000045,2024-04-22T15:12:25Z,signed in,
100000066,2024-04-22T12:37:05Z,signed in,
100000053,2024-04-22T12:18:53Z,signed in,
100000035,2024-04-22T10:01:05Z,signed in,
100000042,2024-04-22T15:47:05Z,signed in,
100000021,2024-04-22T18:09:16Z,signed in,
100000062,2024-04-22T09:48:36Z,signed in,
100000059,2024-04-22T01:29:58Z,signed in,
100000056,2024-04-22T08:17:07Z,signed in,
100000039,2024-04-23T07:33:45Z,signed in,
