org_id,event_timestamp,activity,plan,price,deployment
100000001,2022-06-11T12:31:01Z,subscribed,Team,99,SaaS
100000003,2022-05-23T08:16:37Z,subscribed,Team,99,SaaS
100000004,2022-06-02T18:01:47Z,subscribed,Business,399,On-prem
100000008,2022-05-27T14:24:38Z,subscribed,Business,399,SaaS
100000011,2022-05-20T17:45:32Z,subscribed,Team,99,SaaS
100000015,2022-06-20T16:29:24Z,subscribed,Team,99,SaaS
100000019,2022-06-15T01:53:47Z,subscribed,Team,99,SaaS
100000020,2022-06-12T04:13:48Z,subscribed,Business,399,On-prem
100000022,2022-06-10T13:15:27Z,subscribed,Business,399,On-prem
100000026,2022-06-19T18:30:09Z,subscribed,Business,399,On-prem
100000029,2022-06-18T09:04:29Z,subscribed,Team,99,SaaS
100000030,2022-06-17T22:58:49Z,subscribed,Business,399,On-prem
100000038,2022-06-26T16:35:23Z,subscribed,Business,399,On-prem
100000043,2022-07-04T22:59:59Z,subscribed,Team,99,SaaS
100000044,2022-07-06T06:33:30Z,subscribed,Business,399,SaaS
100000047,2022-07-08T00:10:47Z,subscribed,Team,99,SaaS
100000048,2022-07-09T16:33:30Z,subscribed,Business,399,SaaS
100000059,2022-07-16T18:43:21Z,subscribed,Team,99,SaaS
100000061,2022-07-03T06:13:56Z,subscribed,Team,99,SaaS
100000064,2022-07-12T12:09:06Z,subscribed,Business,399,SaaS
100000065,2022-07-21T03:35:51Z,subscribed,Team,99,SaaS
100000066,2022-07-14T07:11:16Z,subscribed,Business,399,SaaS
100000070,2022-07-27T07:36:41Z,subscribed,Business,399,SaaS
100000072,2022-07-22T17:00:52Z,subscribed,Business,399,SaaS
100000073,2022-07-26T05:43:38Z,subscribed,Team,99,SaaS
100000074,2022-07-21T16:29:44Z,subscribed,Business,399,SaaS
100000081,2022-07-28T08:20:47Z,subscribed,Team,99,SaaS
100000082,2022-08-07T16:01:30Z,subscribed,Business,399,On-prem
100000088,2022-08-02T08:56:26Z,subscribed,Business,399,On-prem
100000089,2022-07-27T06:43:39Z,subscribed,Team,99,SaaS
100000093,2022-08-09T01:40:54Z,subscribed,Team,99,SaaS
100000094,2022-08-12T23:02:50Z,subscribed,Business,399,On-prem
100000096,2022-08-26T18:54:49Z,subscribed,Business,399,On-prem
100000098,2022-08-21T09:00:59Z,subscribed,Business,399,On-prem
100000103,2022-08-21T07:14:51Z,subscribed,Team,99,SaaS
100000105,2022-08-24T18:19:58Z,subscribed,Team,99,SaaS
100000108,2022-08-31T14:07:05Z,subscribed,Business,399,On-prem
100000110,2022-08-25T15:44:35Z,subscribed,Business,399,On-prem
100000114,2022-09-05T15:05:44Z,subscribed,Business,399,SaaS
100000115,2022-09-05T05:04:15Z,subscribed,Team,99,SaaS
100000120,2022-09-07T13:29:06Z,subscribed,Business,399,SaaS
100000122,2022-09-06T18:19:45Z,subscribed,Business,399,SaaS
100000124,2022-09-07T08:35:56Z,subscribed,Business,399,SaaS
100000126,2022-09-14T21:31:26Z,subscribed,Business,399,SaaS
100000127,2022-09-16T04:12:11Z,subscribed,Team,99,SaaS
100000128,2022-09-18T15:35:35Z,subscribed,Business,399,SaaS
100000136,2022-10-03T20:07:29Z,subscribed,Business,399,On-prem
100000139,2022-10-04T14:07:59Z,subscribed,Team,99,SaaS
100000142,2022-10-02T05:46:54Z,subscribed,Business,399,On-prem
100000144,2022-10-07T14:23:09Z,subscribed,Business,399,On-prem
100000147,2022-10-11T21:25:58Z,subscribed,Team,99,SaaS
100000152,2022-10-15T02:25:42Z,subscribed,Business,399,On-prem
100000154,2022-10-17T06:31:56Z,subscribed,Business,399,On-prem
